,States,Years,Quarter,Pincodes,Rergistered_users
561,Arunachal Pradesh,2019,3,791111,11464
562,Arunachal Pradesh,2019,3,791113,7593
563,Arunachal Pradesh,2019,3,791102,7308
564,Arunachal Pradesh,2019,3,792103,5172
565,Arunachal Pradesh,2019,3,790104,4964
566,Arunachal Pradesh,2019,3,791001,4733
567,Arunachal Pradesh,2019,3,792001,4605
568,Arunachal Pradesh,2019,3,791109,3715
569,Arunachal Pradesh,2019,3,790116,3709
570,Arunachal Pradesh,2019,4,791110,13737
571,Arunachal Pradesh,2019,4,791111,13109
572,Arunachal Pradesh,2019,4,791113,8753
573,Arunachal Pradesh,2019,4,791102,8369
574,Arunachal Pradesh,2019,4,792103,5974
575,Arunachal Pradesh,2019,4,790104,5523
576,Arunachal Pradesh,2019,4,791001,5499
577,Arunachal Pradesh,2019,4,792001,5268
578,Arunachal Pradesh,2019,4,791109,4216
579,Arunachal Pradesh,2019,4,790116,4071
580,Arunachal Pradesh,2020,1,791110,15867
581,Arunachal Pradesh,2020,1,791111,14888
582,Arunachal Pradesh,2020,1,791113,10049
583,Arunachal Pradesh,2020,1,791102,9584
584,Arunachal Pradesh,2020,1,792103,6949
585,Arunachal Pradesh,2020,1,791001,6631
586,Arunachal Pradesh,2020,1,790104,6108
587,Arunachal Pradesh,2020,1,792001,6044
588,Arunachal Pradesh,2020,1,791109,4808
589,Arunachal Pradesh,2020,1,792110,4690
590,Arunachal Pradesh,2020,2,791110,18699
