,States,Years,Quarter,Pincodes,Rergistered_users
196,andaman-&-nicobar-islands,2022,4,744104,3647
197,andaman-&-nicobar-islands,2022,4,744112,2975
198,andaman-&-nicobar-islands,2022,4,744211,2679
199,andaman-&-nicobar-islands,2022,4,744205,2358
200,andaman-&-nicobar-islands,2023,1,744103,18209
201,andaman-&-nicobar-islands,2023,1,744105,15848
202,andaman-&-nicobar-islands,2023,1,744101,15006
203,andaman-&-nicobar-islands,2023,1,744102,10033
204,andaman-&-nicobar-islands,2023,1,744202,4993
205,andaman-&-nicobar-islands,2023,1,744107,4239
206,andaman-&-nicobar-islands,2023,1,744104,3795
207,andaman-&-nicobar-islands,2023,1,744112,3141
208,andaman-&-nicobar-islands,2023,1,744211,2792
209,andaman-&-nicobar-islands,2023,1,744205,2480
210,andaman-&-nicobar-islands,2023,2,744103,18944
211,andaman-&-nicobar-islands,2023,2,744105,16488
212,andaman-&-nicobar-islands,2023,2,744101,15562
213,andaman-&-nicobar-islands,2023,2,744102,10387
214,andaman-&-nicobar-islands,2023,2,744202,5239
215,andaman-&-nicobar-islands,2023,2,744107,4425
216,andaman-&-nicobar-islands,2023,2,744104,3937
217,andaman-&-nicobar-islands,2023,2,744112,3261
218,andaman-&-nicobar-islands,2023,2,744211,2917
219,andaman-&-nicobar-islands,2023,2,744205,2605
220,andaman-&-nicobar-islands,2023,3,744103,19673
221,andaman-&-nicobar-islands,2023,3,744105,17171
222,andaman-&-nicobar-islands,2023,3,744101,16188
223,andaman-&-nicobar-islands,2023,3,744102,10799
224,andaman-&-nicobar-islands,2023,3,744202,5480
225,andaman-&-nicobar-islands,2023,3,744107,4591
226,andaman-&-nicobar-islands,2023,3,744104,4082
227,andaman-&-nicobar-islands,2023,3,744112,3382
228,andaman-&-nicobar-islands,2023,3,744211,3033
229,andaman-&-nicobar-islands,2023,3,744205,2716
230,andaman-&-nicobar-islands,2023,4,744103,20431
231,andaman-&-nicobar-islands,2023,4,744105,17824
232,andaman-&-nicobar-islands,2023,4,744101,16772
