,States,Years,Quarter,Districts,Transaction_count,Transaction_amount
5444,himachal-pradesh,2021,3,una district,799861,1417386870.9287395
5445,himachal-pradesh,2021,3,kangra district,1671112,2887492721.743307
5446,himachal-pradesh,2021,3,kullu district,730794,1573258668.3417544
5447,himachal-pradesh,2021,3,mandi district,945135,1753985903.702748
5448,himachal-pradesh,2021,3,lahul and spiti district,66765,166377010.26103356
5449,himachal-pradesh,2021,3,chamba district,426381,769418422.8733866
5450,himachal-pradesh,2021,3,kinnaur district,146541,353832302.4842438
5451,himachal-pradesh,2021,4,solan district,2640011,3757890500.1969657
5452,himachal-pradesh,2021,4,sirmaur district,847647,1363383254.395042
5453,himachal-pradesh,2021,4,shimla district,3957985,7356261501.68967
5454,himachal-pradesh,2021,4,bilaspur district,430870,844889571.9622381
5455,himachal-pradesh,2021,4,hamirpur district,717321,1262408331.5777433
5456,himachal-pradesh,2021,4,una district,1048351,1936766072.2652125
5457,himachal-pradesh,2021,4,kangra district,2130139,3830143759.599303
5458,himachal-pradesh,2021,4,kullu district,1078809,2242410725.933015
5459,himachal-pradesh,2021,4,mandi district,1092862,2082662004.4459343
5460,himachal-pradesh,2021,4,lahul and spiti district,59045,138242899.070293
5461,himachal-pradesh,2021,4,chamba district,507614,926400609.5746634
5462,himachal-pradesh,2021,4,kinnaur district,156210,394761269.9156797
5463,himachal-pradesh,2022,1,solan district,2993489,3959375876.029764
5464,himachal-pradesh,2022,1,sirmaur district,962227,1517999108.5303912
5465,himachal-pradesh,2022,1,shimla district,4441906,7362840550.6056385
5466,himachal-pradesh,2022,1,bilaspur district,472169,885425010.4453132
5467,himachal-pradesh,2022,1,hamirpur district,751389,1264679768.7344947
5468,himachal-pradesh,2022,1,una district,1164923,2030776988.6375241
5469,himachal-pradesh,2022,1,kangra district,2261593,3907092916.0266376
5470,himachal-pradesh,2022,1,kullu district,1100232,2108742823.1394382
5471,himachal-pradesh,2022,1,mandi district,1201568,2151083001.502331
5472,himachal-pradesh,2022,1,lahul and spiti district,46144,90886775.89370959
5473,himachal-pradesh,2022,1,chamba district,544135,943937757.078062
5474,himachal-pradesh,2022,1,kinnaur district,148405,295606863.3095263
5475,himachal-pradesh,2022,2,solan district,3773789,4536385240.154757
5476,himachal-pradesh,2022,2,sirmaur district,1196118,1742899000.9373982
5477,himachal-pradesh,2022,2,shimla district,5875215,9396933042.155468
5478,himachal-pradesh,2022,2,bilaspur district,597379,1083546519.8422945
5479,himachal-pradesh,2022,2,hamirpur district,1002506,1538456707.4950671
5480,himachal-pradesh,2022,2,una district,1526243,2532127305.6645803
5481,himachal-pradesh,2022,2,kangra district,2984544,4846014285.107853
5482,himachal-pradesh,2022,2,kullu district,1646598,3292385543.3319855
5483,himachal-pradesh,2022,2,mandi district,1587222,2699997310.198592
5484,himachal-pradesh,2022,2,lahul and spiti district,130570,300236415.2447329
5485,himachal-pradesh,2022,2,chamba district,727701,1229468817.252565
5486,himachal-pradesh,2022,2,kinnaur district,243486,510657770.8569747
5487,himachal-pradesh,2022,3,solan district,4064523,4837968887.089856
5488,himachal-pradesh,2022,3,sirmaur district,1266132,1769419418.4413247
5489,himachal-pradesh,2022,3,shimla district,8892834,13349267759.063
5490,himachal-pradesh,2022,3,bilaspur district,936750,1447420350.6150799
5491,himachal-pradesh,2022,3,hamirpur district,934529,1398047775.1680303
5492,himachal-pradesh,2022,3,una district,1233226,1928978517.8009784
5493,himachal-pradesh,2022,3,kangra district,3342842,5121570350.61087
5494,himachal-pradesh,2022,3,kullu district,1202861,2235782785.3480353
5495,himachal-pradesh,2022,3,mandi district,1666670,2648674300.781836
5496,himachal-pradesh,2022,3,lahul and spiti district,120500,275873974.5120233
5497,himachal-pradesh,2022,3,chamba district,1270412,1872267055.9187663
5498,himachal-pradesh,2022,3,kinnaur district,233589,495511513.190618
5499,himachal-pradesh,2022,4,solan district,4436709,5065290891.534373
5500,himachal-pradesh,2022,4,sirmaur district,1454224,1991999745.9575925
5501,himachal-pradesh,2022,4,shimla district,9603309,14161042549.708815
5502,himachal-pradesh,2022,4,bilaspur district,622642,1042618597.1158307
5503,himachal-pradesh,2022,4,hamirpur district,1161191,1732021206.6974392
5504,himachal-pradesh,2022,4,una district,1173607,1902311205.0838988
5505,himachal-pradesh,2022,4,kangra district,4885938,7430861889.061211
5506,himachal-pradesh,2022,4,kullu district,2047414,3429997134.811536
5507,himachal-pradesh,2022,4,mandi district,1994054,3034367986.1615605
5508,himachal-pradesh,2022,4,lahul and spiti district,100747,199706125.5906673
5509,himachal-pradesh,2022,4,chamba district,831315,1292196671.856883
5510,himachal-pradesh,2022,4,kinnaur district,243986,496929228.7937612
5511,himachal-pradesh,2023,1,solan district,6697899,6853019754.0
5512,himachal-pradesh,2023,1,sirmaur district,2191815,2793519379.0
5513,himachal-pradesh,2023,1,shimla district,2868345,4482667951.0
5514,himachal-pradesh,2023,1,bilaspur district,985356,1578749319.0
5515,himachal-pradesh,2023,1,hamirpur district,1563054,2230316339.0
5516,himachal-pradesh,2023,1,una district,1664821,2572954200.0
5517,himachal-pradesh,2023,1,kangra district,4812761,7112476385.0
5518,himachal-pradesh,2023,1,kullu district,2582003,4254375692.0
5519,himachal-pradesh,2023,1,mandi district,2270344,3447411380.0
5520,himachal-pradesh,2023,1,lahul and spiti district,99085,162221537.0
5521,himachal-pradesh,2023,1,chamba district,1245900,1739970763.0
5522,himachal-pradesh,2023,1,kinnaur district,320343,513265035.0
5523,himachal-pradesh,2023,2,solan district,8225202,7869249175.0
5524,himachal-pradesh,2023,2,sirmaur district,2641707,3153309362.0
5525,himachal-pradesh,2023,2,shimla district,3935607,5853300872.0
5526,himachal-pradesh,2023,2,bilaspur district,1211407,1839856400.0
5527,himachal-pradesh,2023,2,hamirpur district,1880638,2572731185.0
5528,himachal-pradesh,2023,2,una district,2008731,2891172648.0
5529,himachal-pradesh,2023,2,kangra district,6314902,8889538215.0
5530,himachal-pradesh,2023,2,kullu district,3547410,6190891236.0
5531,himachal-pradesh,2023,2,mandi district,2832817,4073788943.0
5532,himachal-pradesh,2023,2,lahul and spiti district,290203,530456204.0
5533,himachal-pradesh,2023,2,chamba district,1664604,2251880400.0
5534,himachal-pradesh,2023,2,kinnaur district,508367,758889078.0
5535,himachal-pradesh,2023,3,solan district,8707937,7941256441.0
5536,himachal-pradesh,2023,3,sirmaur district,2744752,3130614016.0
5537,himachal-pradesh,2023,3,shimla district,3828021,5695614828.0
5538,himachal-pradesh,2023,3,bilaspur district,1205509,1721531981.0
5539,himachal-pradesh,2023,3,hamirpur district,1947497,2534313484.0
5540,himachal-pradesh,2023,3,una district,2080978,2949791874.0
5541,himachal-pradesh,2023,3,kangra district,6059411,8079309385.0
5542,himachal-pradesh,2023,3,kullu district,1830787,2790341242.0
5543,himachal-pradesh,2023,3,mandi district,2595990,3596985973.0
5544,himachal-pradesh,2023,3,lahul and spiti district,223282,389949271.0
5545,himachal-pradesh,2023,3,chamba district,1564556,2167299865.0
5546,himachal-pradesh,2023,3,kinnaur district,548334,857563277.0
5547,himachal-pradesh,2023,4,solan district,9715897,8743026348.0
5548,himachal-pradesh,2023,4,sirmaur district,3052172,3442311095.0
5549,himachal-pradesh,2023,4,shimla district,4258178,5982804080.0
5550,himachal-pradesh,2023,4,bilaspur district,1365100,1923569325.0
5551,himachal-pradesh,2023,4,hamirpur district,2223488,2878828789.0
5552,himachal-pradesh,2023,4,una district,2312951,3417753035.0
5553,himachal-pradesh,2023,4,kangra district,7007451,9466521159.0
5554,himachal-pradesh,2023,4,kullu district,3068350,4583180514.0
5555,himachal-pradesh,2023,4,mandi district,3053172,4150722029.0
5556,himachal-pradesh,2023,4,lahul and spiti district,228532,373006765.0
5557,himachal-pradesh,2023,4,chamba district,1806626,2372506002.0
5558,himachal-pradesh,2023,4,kinnaur district,559922,946017423.0
5559,himachal-pradesh,2024,1,solan district,10352161,9109575772.0
5560,himachal-pradesh,2024,1,sirmaur district,3224271,3608713118.0
5561,himachal-pradesh,2024,1,shimla district,3971209,5165865352.0
5562,himachal-pradesh,2024,1,bilaspur district,1447431,2010202595.0
5563,himachal-pradesh,2024,1,hamirpur district,2271076,2926241346.0
5564,himachal-pradesh,2024,1,una district,2319304,3333784785.0
5565,himachal-pradesh,2024,1,kangra district,6971330,9371481434.0
5566,himachal-pradesh,2024,1,kullu district,3370275,4865648499.0
5567,himachal-pradesh,2024,1,mandi district,3157129,4323386327.0
5568,himachal-pradesh,2024,1,lahul and spiti district,171826,260706430.0
5569,himachal-pradesh,2024,1,chamba district,1804702,2255477302.0
5570,himachal-pradesh,2024,1,kinnaur district,459847,653148379.0
5571,jammu-&-kashmir,2018,1,muzaffarabad district,13,14559.803406151601
5572,jammu-&-kashmir,2018,1,doda district,4108,7065930.233463201
5573,jammu-&-kashmir,2018,1,samba district,14795,21534891.0416242
5574,jammu-&-kashmir,2018,1,mirpur district,1320,3052181.909064396
5575,jammu-&-kashmir,2018,1,srinagar district,47285,62676256.75828372
5576,jammu-&-kashmir,2018,1,baramulla district,83775,44215018.00395158
5577,jammu-&-kashmir,2018,1,jammu district,81381,127452979.35873458
5578,jammu-&-kashmir,2018,1,ganderbal district,20571,9107649.670974826
5579,jammu-&-kashmir,2018,1,udhampur district,17620,31451872.26861042
5580,jammu-&-kashmir,2018,1,bandipore district,38208,11885513.905010346
5581,jammu-&-kashmir,2018,1,reasi district,7433,12816155.33273841
5582,jammu-&-kashmir,2018,1,shopian district,5083,3598498.6345729744
5583,jammu-&-kashmir,2018,1,poonch district,398963,509120439.3079825
5584,jammu-&-kashmir,2018,1,kathua district,17643,22353839.21295397
5585,jammu-&-kashmir,2018,1,kishtwar district,2054,3514299.9889703216
5586,jammu-&-kashmir,2018,1,pulwama district,35793,24777476.308443584
5587,jammu-&-kashmir,2018,1,ramban district,5326,7284248.818676664
5588,jammu-&-kashmir,2018,1,rajouri district,10199,16045672.106446449
5589,jammu-&-kashmir,2018,1,kulgam district,23587,9213671.326669723
5590,jammu-&-kashmir,2018,1,budgam district,50748,36218453.70685134
5591,jammu-&-kashmir,2018,1,anantnag district,64478,24885721.231939793
5592,jammu-&-kashmir,2018,1,kupwara district,11185,17085910.326759618
5593,jammu-&-kashmir,2018,2,muzaffarabad district,75,368823.4836135323
5594,jammu-&-kashmir,2018,2,doda district,7631,16114372.115183618
5595,jammu-&-kashmir,2018,2,samba district,20917,36387040.50852826
5596,jammu-&-kashmir,2018,2,mirpur district,1885,4089198.7363343993
5597,jammu-&-kashmir,2018,2,srinagar district,92244,140893315.71476018
5598,jammu-&-kashmir,2018,2,baramulla district,188100,100055918.36977986
5599,jammu-&-kashmir,2018,2,jammu district,112434,232232787.92328903
5600,jammu-&-kashmir,2018,2,ganderbal district,41415,24295329.738405794
5601,jammu-&-kashmir,2018,2,udhampur district,27804,60326675.00386811
5602,jammu-&-kashmir,2018,2,bandipore district,64888,26799256.94581057
5603,jammu-&-kashmir,2018,2,reasi district,11296,27106631.47361443
5604,jammu-&-kashmir,2018,2,shopian district,8017,8454705.838859541
5605,jammu-&-kashmir,2018,2,poonch district,891298,1627868128.4895806
5606,jammu-&-kashmir,2018,2,kathua district,25411,39744879.134225145
5607,jammu-&-kashmir,2018,2,kishtwar district,3797,10312057.062347615
5608,jammu-&-kashmir,2018,2,pulwama district,54034,53382825.78039837
5609,jammu-&-kashmir,2018,2,ramban district,7715,14388161.945558583
5610,jammu-&-kashmir,2018,2,rajouri district,17110,40023701.506525375
5611,jammu-&-kashmir,2018,2,kulgam district,30822,17711007.626695577
5612,jammu-&-kashmir,2018,2,budgam district,89823,77122240.2755234
5613,jammu-&-kashmir,2018,2,anantnag district,70838,43529509.03427214
5614,jammu-&-kashmir,2018,2,kupwara district,28772,49999669.795696385
5615,jammu-&-kashmir,2018,3,muzaffarabad district,211,581878.7760569004
5616,jammu-&-kashmir,2018,3,doda district,12645,34027590.92391601
5617,jammu-&-kashmir,2018,3,samba district,28728,62913580.60213567
5618,jammu-&-kashmir,2018,3,mirpur district,2789,7804797.778845614
5619,jammu-&-kashmir,2018,3,srinagar district,154314,270405876.71132636
5620,jammu-&-kashmir,2018,3,baramulla district,210619,195960360.05707502
5621,jammu-&-kashmir,2018,3,jammu district,145123,376452715.050717
5622,jammu-&-kashmir,2018,3,ganderbal district,52136,55650497.72050136
5623,jammu-&-kashmir,2018,3,udhampur district,37014,92258254.83476219
5624,jammu-&-kashmir,2018,3,bandipore district,87129,60815662.86494814
5625,jammu-&-kashmir,2018,3,reasi district,16409,42269613.56023088
5626,jammu-&-kashmir,2018,3,shopian district,8156,13724387.244946066
5627,jammu-&-kashmir,2018,3,poonch district,1189512,2093062576.1870332
5628,jammu-&-kashmir,2018,3,kathua district,35991,65729742.878893405
5629,jammu-&-kashmir,2018,3,kishtwar district,5911,14394238.733370475
5630,jammu-&-kashmir,2018,3,pulwama district,65491,93861999.52986418
5631,jammu-&-kashmir,2018,3,ramban district,13585,31095426.6143336
5632,jammu-&-kashmir,2018,3,rajouri district,25458,73897455.39817372
5633,jammu-&-kashmir,2018,3,kulgam district,36648,38482884.37476657
5634,jammu-&-kashmir,2018,3,budgam district,74691,120545227.15939456
5635,jammu-&-kashmir,2018,3,anantnag district,69967,95642801.11475597
5636,jammu-&-kashmir,2018,3,kupwara district,31434,95123431.34163423
5637,jammu-&-kashmir,2018,4,muzaffarabad district,267,1159496.382415084
5638,jammu-&-kashmir,2018,4,doda district,16990,50665168.801815644
5639,jammu-&-kashmir,2018,4,samba district,43623,110909698.34958589
5640,jammu-&-kashmir,2018,4,mirpur district,4525,17198501.877917536
5641,jammu-&-kashmir,2018,4,srinagar district,144970,329216330.48735344
5642,jammu-&-kashmir,2018,4,baramulla district,109702,212164676.56823462
5643,jammu-&-kashmir,2018,4,jammu district,226829,670989049.2596997
5644,jammu-&-kashmir,2018,4,ganderbal district,28646,51463841.198077515
5645,jammu-&-kashmir,2018,4,udhampur district,50056,158443928.52744907
5646,jammu-&-kashmir,2018,4,bandipore district,27073,56020937.99422079
5647,jammu-&-kashmir,2018,4,reasi district,21464,57918446.21121466
5648,jammu-&-kashmir,2018,4,shopian district,11706,27856762.58382556
5649,jammu-&-kashmir,2018,4,poonch district,1642053,2992752160.889104
5650,jammu-&-kashmir,2018,4,kathua district,50640,115344936.11363688
5651,jammu-&-kashmir,2018,4,kishtwar district,6978,22848654.263971046
5652,jammu-&-kashmir,2018,4,pulwama district,43706,109777843.14790586
5653,jammu-&-kashmir,2018,4,ramban district,18133,52646196.621844925
5654,jammu-&-kashmir,2018,4,rajouri district,39629,132340219.58698925
5655,jammu-&-kashmir,2018,4,kulgam district,32550,53586270.06020345
5656,jammu-&-kashmir,2018,4,budgam district,75940,175490225.93721515
5657,jammu-&-kashmir,2018,4,anantnag district,79193,110778790.88365649
5658,jammu-&-kashmir,2018,4,kupwara district,46637,155148129.95113623
5659,jammu-&-kashmir,2019,1,muzaffarabad district,309,802634.3065277553
5660,jammu-&-kashmir,2019,1,doda district,19704,52638941.01283811
5661,jammu-&-kashmir,2019,1,samba district,51437,119636659.29644221
5662,jammu-&-kashmir,2019,1,mirpur district,4690,17006249.140305094
5663,jammu-&-kashmir,2019,1,srinagar district,310516,595281412.755115
5664,jammu-&-kashmir,2019,1,baramulla district,164873,235373167.04939288
5665,jammu-&-kashmir,2019,1,jammu district,336553,880021398.3075252
5666,jammu-&-kashmir,2019,1,ganderbal district,44270,53435135.4465961
5667,jammu-&-kashmir,2019,1,udhampur district,61146,165236170.74876732
5668,jammu-&-kashmir,2019,1,bandipore district,41790,57896061.76627199
5669,jammu-&-kashmir,2019,1,reasi district,27880,66524100.007024944
5670,jammu-&-kashmir,2019,1,shopian district,18043,29280786.002076503
5671,jammu-&-kashmir,2019,1,poonch district,1923655,2702486522.9746447
5672,jammu-&-kashmir,2019,1,kathua district,65843,123437204.57869422
5673,jammu-&-kashmir,2019,1,kishtwar district,8801,24577316.528928503
5674,jammu-&-kashmir,2019,1,pulwama district,73558,128624249.28698528
5675,jammu-&-kashmir,2019,1,ramban district,21258,51349078.85543774
5676,jammu-&-kashmir,2019,1,rajouri district,45577,133203926.99960737
5677,jammu-&-kashmir,2019,1,kulgam district,64816,58528128.30016053
5678,jammu-&-kashmir,2019,1,budgam district,141988,182507224.81175336
5679,jammu-&-kashmir,2019,1,anantnag district,92467,115882661.62980533
5680,jammu-&-kashmir,2019,1,kupwara district,65813,158106446.71607158
5681,jammu-&-kashmir,2019,2,muzaffarabad district,358,1356184.7873196776
5682,jammu-&-kashmir,2019,2,doda district,25374,74037772.87435512
5683,jammu-&-kashmir,2019,2,samba district,54413,142027333.5175769
5684,jammu-&-kashmir,2019,2,mirpur district,5820,25540990.107606493
5685,jammu-&-kashmir,2019,2,srinagar district,721517,1997435095.3858333
5686,jammu-&-kashmir,2019,2,baramulla district,150503,324305667.3040718
5687,jammu-&-kashmir,2019,2,jammu district,532412,1521238563.9344492
5688,jammu-&-kashmir,2019,2,ganderbal district,42072,87050223.77363622
5689,jammu-&-kashmir,2019,2,udhampur district,70405,212612443.68697757
5690,jammu-&-kashmir,2019,2,bandipore district,41227,86691218.6373212
5691,jammu-&-kashmir,2019,2,reasi district,35425,91038294.73353264
5692,jammu-&-kashmir,2019,2,shopian district,19607,47839036.06601636
5693,jammu-&-kashmir,2019,2,poonch district,38370,120247830.87705097
5694,jammu-&-kashmir,2019,2,kathua district,62989,140667309.65092766
5695,jammu-&-kashmir,2019,2,kishtwar district,13465,36238981.23104668
5696,jammu-&-kashmir,2019,2,pulwama district,72486,192069086.39596564
5697,jammu-&-kashmir,2019,2,ramban district,32101,87397686.35956638
5698,jammu-&-kashmir,2019,2,rajouri district,59741,189339489.0274282
5699,jammu-&-kashmir,2019,2,kulgam district,47276,70172206.0431724
5700,jammu-&-kashmir,2019,2,budgam district,118107,244724342.9971184
5701,jammu-&-kashmir,2019,2,anantnag district,76968,176892916.91069663
5702,jammu-&-kashmir,2019,2,kupwara district,75719,231219527.26181516
5703,jammu-&-kashmir,2019,3,muzaffarabad district,289,878367.6864000999
5704,jammu-&-kashmir,2019,3,doda district,13665,39001610.496151924
5705,jammu-&-kashmir,2019,3,samba district,32337,83363005.10981622
5706,jammu-&-kashmir,2019,3,mirpur district,3501,11882521.929194864
5707,jammu-&-kashmir,2019,3,srinagar district,329195,1391918063.9301224
5708,jammu-&-kashmir,2019,3,baramulla district,55226,164311812.1144624
5709,jammu-&-kashmir,2019,3,jammu district,275239,885413982.5256196
5710,jammu-&-kashmir,2019,3,ganderbal district,20047,58009547.84811531
5711,jammu-&-kashmir,2019,3,udhampur district,43153,135163022.78214857
5712,jammu-&-kashmir,2019,3,bandipore district,15986,42396418.66176845
5713,jammu-&-kashmir,2019,3,reasi district,22807,59225448.98924215
5714,jammu-&-kashmir,2019,3,shopian district,7786,16229882.153781377
5715,jammu-&-kashmir,2019,3,poonch district,23270,75145778.40317626
5716,jammu-&-kashmir,2019,3,kathua district,42083,90084615.95369668
5717,jammu-&-kashmir,2019,3,kishtwar district,7443,21173636.241557535
5718,jammu-&-kashmir,2019,3,pulwama district,33089,104266797.68078922
5719,jammu-&-kashmir,2019,3,ramban district,23615,69645588.74289
5720,jammu-&-kashmir,2019,3,rajouri district,34386,112169651.6625633
5721,jammu-&-kashmir,2019,3,kulgam district,17217,33851231.999382496
5722,jammu-&-kashmir,2019,3,budgam district,41566,114191268.29962389
5723,jammu-&-kashmir,2019,3,anantnag district,39325,117282515.54028721
5724,jammu-&-kashmir,2019,3,kupwara district,35301,118625723.03167562
5725,jammu-&-kashmir,2019,4,muzaffarabad district,13,33490.7377982426
5726,jammu-&-kashmir,2019,4,doda district,2864,13087031.76313566
5727,jammu-&-kashmir,2019,4,samba district,14817,53713327.351715714
5728,jammu-&-kashmir,2019,4,mirpur district,642,3841256.042835106
5729,jammu-&-kashmir,2019,4,srinagar district,117133,474222741.4546555
5730,jammu-&-kashmir,2019,4,baramulla district,8345,30863315.57342449
5731,jammu-&-kashmir,2019,4,jammu district,231238,928579096.2076488
5732,jammu-&-kashmir,2019,4,ganderbal district,834,4743500.871029498
5733,jammu-&-kashmir,2019,4,udhampur district,22103,91344412.2796205
5734,jammu-&-kashmir,2019,4,bandipore district,300,1680075.8498654477
5735,jammu-&-kashmir,2019,4,reasi district,12986,43788337.944249794
5736,jammu-&-kashmir,2019,4,shopian district,285,648555.5507799082
5737,jammu-&-kashmir,2019,4,poonch district,10130,37926598.592978455
5738,jammu-&-kashmir,2019,4,kathua district,28288,83151146.69576254
5739,jammu-&-kashmir,2019,4,kishtwar district,2057,9695993.464283273
5740,jammu-&-kashmir,2019,4,pulwama district,1473,9185346.443124529
5741,jammu-&-kashmir,2019,4,ramban district,14088,49372161.637940705
5742,jammu-&-kashmir,2019,4,rajouri district,15973,65942824.07004503
5743,jammu-&-kashmir,2019,4,kulgam district,211,982047.0576332739
5744,jammu-&-kashmir,2019,4,budgam district,2351,11629862.550543789
5745,jammu-&-kashmir,2019,4,anantnag district,3109,11464594.84393266
5746,jammu-&-kashmir,2019,4,kupwara district,688,3800280.8395930566
5747,jammu-&-kashmir,2020,1,muzaffarabad district,112,436693.6274538382
5748,jammu-&-kashmir,2020,1,doda district,14126,38583563.327599555
5749,jammu-&-kashmir,2020,1,samba district,32933,90185246.2200037
5750,jammu-&-kashmir,2020,1,mirpur district,3104,11580819.24606758
5751,jammu-&-kashmir,2020,1,srinagar district,127979,474473029.57881373
5752,jammu-&-kashmir,2020,1,baramulla district,38477,102651433.96810117
5753,jammu-&-kashmir,2020,1,jammu district,363150,1275561405.7653875
5754,jammu-&-kashmir,2020,1,ganderbal district,10813,28214462.840443924
5755,jammu-&-kashmir,2020,1,udhampur district,45339,137536252.00526458
5756,jammu-&-kashmir,2020,1,bandipore district,10311,27789837.54150642
5757,jammu-&-kashmir,2020,1,reasi district,24431,69003941.03140756
5758,jammu-&-kashmir,2020,1,shopian district,7878,18157391.903722018
5759,jammu-&-kashmir,2020,1,poonch district,16709,52760138.965863004
5760,jammu-&-kashmir,2020,1,kathua district,48120,107171478.55933961
5761,jammu-&-kashmir,2020,1,kishtwar district,9710,27259898.028504793
5762,jammu-&-kashmir,2020,1,pulwama district,26598,76212175.43966158
5763,jammu-&-kashmir,2020,1,ramban district,12796,34487947.978801765
5764,jammu-&-kashmir,2020,1,rajouri district,28561,88475364.88892928
5765,jammu-&-kashmir,2020,1,kulgam district,12394,24289856.01002881
5766,jammu-&-kashmir,2020,1,budgam district,32991,95338551.22633348
5767,jammu-&-kashmir,2020,1,anantnag district,25741,70085624.44047819
5768,jammu-&-kashmir,2020,1,kupwara district,29357,87388063.94032452
5769,jammu-&-kashmir,2020,2,muzaffarabad district,656,2880433.662297405
5770,jammu-&-kashmir,2020,2,doda district,57928,135990634.9908951
5771,jammu-&-kashmir,2020,2,samba district,92336,202733580.03466016
5772,jammu-&-kashmir,2020,2,mirpur district,14046,44622104.6311252
5773,jammu-&-kashmir,2020,2,srinagar district,440808,1810806888.436264
5774,jammu-&-kashmir,2020,2,baramulla district,139478,414666518.8451662
5775,jammu-&-kashmir,2020,2,jammu district,819252,2746977181.9002085
5776,jammu-&-kashmir,2020,2,ganderbal district,36483,106190105.59913673
5777,jammu-&-kashmir,2020,2,udhampur district,127419,319173115.28145945
5778,jammu-&-kashmir,2020,2,bandipore district,36152,102723529.86849661
5779,jammu-&-kashmir,2020,2,reasi district,49746,106410135.68047369
5780,jammu-&-kashmir,2020,2,shopian district,24785,66217970.77443329
5781,jammu-&-kashmir,2020,2,poonch district,65969,192100840.0578707
5782,jammu-&-kashmir,2020,2,kathua district,114835,227977779.90759313
5783,jammu-&-kashmir,2020,2,kishtwar district,29206,75514041.19893728
5784,jammu-&-kashmir,2020,2,pulwama district,85402,271480260.94137585
5785,jammu-&-kashmir,2020,2,ramban district,39854,102642842.42209667
5786,jammu-&-kashmir,2020,2,rajouri district,104655,305656997.14551216
5787,jammu-&-kashmir,2020,2,kulgam district,42870,100175288.12866533
5788,jammu-&-kashmir,2020,2,budgam district,112970,331830464.6882304
5789,jammu-&-kashmir,2020,2,anantnag district,85384,239711526.255058
5790,jammu-&-kashmir,2020,2,kupwara district,114772,359166698.8086049
5791,jammu-&-kashmir,2020,3,muzaffarabad district,1572,5773809.286486714
5792,jammu-&-kashmir,2020,3,doda district,68744,173984872.11111727
5793,jammu-&-kashmir,2020,3,samba district,113571,309268006.2905833
5794,jammu-&-kashmir,2020,3,mirpur district,15019,54072783.391636506
5795,jammu-&-kashmir,2020,3,srinagar district,461915,1879035426.896187
5796,jammu-&-kashmir,2020,3,baramulla district,183583,580425624.3604748
5797,jammu-&-kashmir,2020,3,jammu district,1266667,4876922229.442625
5798,jammu-&-kashmir,2020,3,ganderbal district,50743,155780382.9954802
5799,jammu-&-kashmir,2020,3,udhampur district,154296,445180791.5536319
5800,jammu-&-kashmir,2020,3,bandipore district,48450,147013052.43061084
5801,jammu-&-kashmir,2020,3,reasi district,56486,135099068.4405353
5802,jammu-&-kashmir,2020,3,shopian district,34708,101326986.58238825
5803,jammu-&-kashmir,2020,3,poonch district,76518,263707934.54872236
5804,jammu-&-kashmir,2020,3,kathua district,126283,311678208.3628339
5805,jammu-&-kashmir,2020,3,kishtwar district,31188,83180064.56537089
5806,jammu-&-kashmir,2020,3,pulwama district,114833,372238070.397479
5807,jammu-&-kashmir,2020,3,ramban district,45879,125848917.44620399
5808,jammu-&-kashmir,2020,3,rajouri district,125973,413621357.5955142
5809,jammu-&-kashmir,2020,3,kulgam district,55854,145784144.81867468
5810,jammu-&-kashmir,2020,3,budgam district,148225,477023512.9076569
5811,jammu-&-kashmir,2020,3,anantnag district,128022,403569858.30771744
5812,jammu-&-kashmir,2020,3,kupwara district,157369,516694658.1405349
5813,jammu-&-kashmir,2020,4,muzaffarabad district,2190,8320762.641519774
5814,jammu-&-kashmir,2020,4,doda district,101107,228886606.7496394
5815,jammu-&-kashmir,2020,4,samba district,192767,485508786.5685181
5816,jammu-&-kashmir,2020,4,mirpur district,22039,79706376.63871619
5817,jammu-&-kashmir,2020,4,srinagar district,731076,2177635781.644431
5818,jammu-&-kashmir,2020,4,baramulla district,412433,862594987.5778542
5819,jammu-&-kashmir,2020,4,jammu district,1776840,5696308275.135366
5820,jammu-&-kashmir,2020,4,ganderbal district,92285,201135628.2568581
5821,jammu-&-kashmir,2020,4,udhampur district,248906,646828971.36521
5822,jammu-&-kashmir,2020,4,bandipore district,106767,229201197.19575912
5823,jammu-&-kashmir,2020,4,reasi district,100618,229255669.2348591
5824,jammu-&-kashmir,2020,4,shopian district,71983,161658443.40664437
5825,jammu-&-kashmir,2020,4,poonch district,117245,342505124.4352001
5826,jammu-&-kashmir,2020,4,kathua district,226360,463045666.1261914
5827,jammu-&-kashmir,2020,4,kishtwar district,51330,107185861.51281238
5828,jammu-&-kashmir,2020,4,pulwama district,219731,551823991.7884358
5829,jammu-&-kashmir,2020,4,ramban district,78367,192684246.34585124
5830,jammu-&-kashmir,2020,4,rajouri district,196713,567890456.5176737
5831,jammu-&-kashmir,2020,4,kulgam district,124253,220794472.45019814
5832,jammu-&-kashmir,2020,4,budgam district,295461,692267475.7911439
5833,jammu-&-kashmir,2020,4,anantnag district,282499,514346950.9515931
5834,jammu-&-kashmir,2020,4,kupwara district,303474,721320071.0437154
5835,jammu-&-kashmir,2021,1,muzaffarabad district,1760,7018769.97680518
5836,jammu-&-kashmir,2021,1,doda district,93540,197962516.58644903
5837,jammu-&-kashmir,2021,1,samba district,201873,489544571.0195805
5838,jammu-&-kashmir,2021,1,mirpur district,19836,76641365.50414479
5839,jammu-&-kashmir,2021,1,srinagar district,1027161,2568956545.4611216
